name,author,type,url,previewURL,price,timeHours,timeMinutes,productImage
Castled long – attacking the king,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_castled_long_attacking_the_king,//youtube.com/embed/nXvFbA8lp7s,27.67,4,,https://shop.chessbase.com/en/pics/bp_6640
First Steps in Chess Strategy,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_first_steps_in_chess_strategy,//youtube.com/embed/IrPRS3LhoOc,27.67,,60,https://shop.chessbase.com/en/pics/bp_6428
Strategy University Vol. 5: Winning Methods of great Players,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/mikhalchishin_strategy_university_5_winning_methods_of_great_players,//youtube.com/embed/m_r27aeuIB8,29.65,5,35,https://shop.chessbase.com/en/pics/bp_6408
And Action! - How to crown positional play by tactics,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/shirov_and_action_how_to_crown_positional_play_by_tactics,//youtube.com/embed/oBEIDZOXVdc,29.65,4,52,https://shop.chessbase.com/en/pics/bp_6424
The true value of pieces,Dejan Bojkov,FritzTrainer,https://shop.chessbase.com/en/products/bojkov_the_true_value_of_pieces,//youtube.com/embed/ZsMGjzWOlt8,27.67,4,50,https://shop.chessbase.com/en/pics/bp_6619
Strategy University Vol.1: The Central Approach,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/strategy_university1,//youtube.com/embed/4z2kxTaYwXA,29.65,,50,https://shop.chessbase.com/en/pics/bp_5869
Strategy University Vol 2: Prevention and Preparation in Chess,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/strategy_university2,,29.65,,30,https://shop.chessbase.com/en/pics/bp_5877
Attacking a king which has castled short,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_attacking_a_king_which_has_castled_short,//youtube.com/embed/J_Yoyf9m8O8,27.67,,59,https://shop.chessbase.com/en/pics/bp_6322
Tactics - from Basics to Brilliance Vol. 3,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_tactics_from_basics_to_brilliance_vol3,//youtube.com/embed/64OdAfMaBb0,27.67,4,,https://shop.chessbase.com/en/pics/bp_6324
Strategy University Vol 3: Positional Pawn Sacrifice,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/strategy_university_vol3,//www.youtube.com/embed/7pqWQj5zFuU,29.65,,15,https://shop.chessbase.com/en/pics/bp_5917
Power of Tactics - A World Champion's Guide for a Club Player,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/powerof_tactics,//youtube.com/embed/gd8KQ-pMcxU,32.63,4,20,https://shop.chessbase.com/en/pics/bp_5812
First Steps in Attack,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_first_steps_in_attack,//youtube.com/embed/OJC9FDmMkD4,19.73,,60,https://shop.chessbase.com/en/pics/bp_5997
Know the Terrain Vol. 3: Central Majority,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_central_majority,//youtube.com/embed/BZrK_nKTzWM,27.67,4,39,https://shop.chessbase.com/en/pics/bp_6045
The Art of the Exchange Sacrifice,Ari Ziegler,FritzTrainer,https://shop.chessbase.com/en/products/ziegler_the_art_of_the_exchange_sacrifice,//youtube.com/embed/5AbgsSLKcIU,27.67,6,40,https://shop.chessbase.com/en/pics/bp_6095
First Steps in Defence,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_first_steps_in_defence,//youtube.com/embed/xDAxehttUOc,19.73,3,16,https://shop.chessbase.com/en/pics/bp_6088
What Grandmasters Don’t See Vol. 1: Protected Squares,Maurice Ashley,FritzTrainer,https://shop.chessbase.com/en/products/what_grandmasters_dont_see_vol,//www.youtube.com/embed/Nvd21YO_hW4,29.65,4,18,https://shop.chessbase.com/en/pics/bp_5951
Attacking the King – for Experts,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/attacking_the_king-for_experts,,29.74,4,,https://shop.chessbase.com/en/pics/bp_4233
Tactics - from Basics to Brilliance Vol. 1,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_tactics_vol1,//www.youtube.com/embed/3bvroFxdjxI,27.67,5,30,https://shop.chessbase.com/en/pics/bp_5921
Power of planning,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/power_of_planning,,29.65,,19,https://shop.chessbase.com/en/pics/bp_4261
Power of Exchange,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/power_of_exchange,,29.65,,,https://shop.chessbase.com/en/pics/bp_4277
Power Play 12 - The Hedgehog,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play_12-the_hedgehog,,29.74,5,,https://shop.chessbase.com/en/pics/bp_5769
Winning Structures,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/winning_structures,,29.65,,60,https://shop.chessbase.com/en/pics/bp_4285
Power Play 13 - The squeeze,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play_13-the_squeeze,,29.74,5,,https://shop.chessbase.com/en/pics/bp_5772
The magic of chess tactics,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/magic_of_chess_tactics_engl,,29.65,3,30,https://shop.chessbase.com/en/pics/bp_4264
Tactics - from Basics to Brilliance Vol. 2,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_tactics_from_basics_to_brilliance_vol2,//youtube.com/embed/d-9ME95nCAU,27.67,4,18,https://shop.chessbase.com/en/pics/bp_6092
Power Play 14 - Test Your Tactics,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play_14_test_your_tactics,//youtube.com/embed/zoC3MjQjo6A,29.74,,,https://shop.chessbase.com/en/pics/bp_5775
Know the Terrain Vol. 1: The Carlsbad,Sam Collins,FritzTrainer,https://shop.chessbase.com/en/products/collins_the_carlsbad1,//youtube.com/embed/LGdDZrcWR8U,27.67,7,,https://shop.chessbase.com/en/pics/bp_5870
The secret Weapons of the champions,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/the_secret_weapons_of_the_champions,,26.76,,,https://shop.chessbase.com/en/pics/bp_4145
Power Play 5 - Pawns,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play5-pawns,,29.74,,,https://shop.chessbase.com/en/pics/bp_5798
Decision making in chess,Adrian Mikhalchishin,FritzTrainer,https://shop.chessbase.com/en/products/decision_making_in_chess,,26.76,,26,https://shop.chessbase.com/en/pics/bp_4154
"Power Play 6 - Pawns, Pieces & Plans",Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play6-pawns_pieces_plans,,29.74,5,,https://shop.chessbase.com/en/pics/bp_5799
Chess for scoundrels,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/chess_for_scoundrels,,26.76,,,https://shop.chessbase.com/en/pics/bp_4188
Power Play 7 - Improve your pieces,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play7-improve_your_pieces,//youtube.com/embed/w_MRbejESdE,29.74,,,https://shop.chessbase.com/en/pics/bp_5800
Strategy – step by step,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/strategy-step_by_step,,29.74,,,https://shop.chessbase.com/en/pics/bp_4187
Power Play 8 - Knights and Bishops,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play_8-knights_and_bishops,,29.74,,,https://shop.chessbase.com/en/pics/bp_5801
How to Beat Younger Players,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/how_to_beat_younger_players,,19.73,,60,https://shop.chessbase.com/en/pics/bp_4239
Power Play 9 - major pieces vs. minor pieces,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play9-major_piecesvsminor_pieces,,29.70,,15,https://shop.chessbase.com/en/pics/bp_5802
Power Play 10 - Calculation,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play10-calculation,,29.74,4,30,https://shop.chessbase.com/en/pics/bp_5803
Basic Positional Ideas,Jacob Aagaard,FritzTrainer,https://shop.chessbase.com/en/products/basic_positional_ideas,,29.74,,,https://shop.chessbase.com/en/pics/bp_4039
The basics of winning chess,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/the_basics_of_winning_chess,,24.78,,39,https://shop.chessbase.com/en/pics/bp_4056
Power Play 1 - Mating Patterns,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play1_mating_patterns,,29.74,,,https://shop.chessbase.com/en/pics/bp_5794
Attacking Chess Volume 1,Jacob Aagaard,FritzTrainer,https://shop.chessbase.com/en/products/attacking_chess_volume_1,,24.78,,,https://shop.chessbase.com/en/pics/bp_4028
Attacking Chess Volume 2,Jacob Aagaard,FritzTrainer,https://shop.chessbase.com/en/products/attacking_chess_volume_2,,24.78,,,https://shop.chessbase.com/en/pics/bp_4029
Power Play 2 - Attacking the king,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play2_attacking_the_king,,29.74,,,https://shop.chessbase.com/en/pics/bp_5795
Power Play 3 - Pawn storm,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play3_pawn_storm,,29.74,,,https://shop.chessbase.com/en/pics/bp_5796
Power Play 4 - Start Right,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play4_start_right,,29.74,,50,https://shop.chessbase.com/en/pics/bp_5797
Understanding Middlegame Strategies Vol.2 - Practical Play,Ivan Sokolov,FritzTrainer,https://shop.chessbase.com/en/products/sokolov_understanding_middlegame_strategies_vol_2,//youtube.com/embed/3XBQrZPpM1o,29.65,4,60,https://shop.chessbase.com/en/pics/bp_8493
Understanding Middlegame Strategies Vol.1 and 2,Ivan Sokolov,FritzTrainer,https://shop.chessbase.com/en/products/sokolov_understanding_middlegame_strategies_vol_1_and_vol_2,"//youtube.com/embed/IOxZRMjgH40,//youtube.com/embed/3XBQrZPpM1o",54.43,4,60,https://shop.chessbase.com/en/pics/bp_8513
Chess Endgames 10 - Rook and two minor pieces,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_chess_endgames_10_rook_and_two_minor_pieces,//youtube.com/embed/MfxXpseDUQk,29.74,,38,https://shop.chessbase.com/en/pics/bp_6190
Tactics Vol.5: Tactics in the endgame,Valeri Lilov,FritzTrainer,https://shop.chessbase.com/en/products/lilov_tactics_from_basics_to_brilliance_vol5,//youtube.com/embed/Gyie5s4AOlA,27.67,,23,https://shop.chessbase.com/en/pics/bp_6702
Chess Endgames 11 - Rook against Bishop,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_11_rook_against_bishop,//youtube.com/embed/0lYvX2_TNbM,29.74,8,26,https://shop.chessbase.com/en/pics/bp_6411
First Steps in Endgames,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/martin_first_steps_in_endgames,//youtube.com/embed/jIkdKipwbV0,27.67,,12,https://shop.chessbase.com/en/pics/bp_6603
Chess Endgames 12 - Rook vs Knight,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_12_rook_vs_knight,//youtube.com/embed/8iPSMsYXo9g,29.65,5,38,https://shop.chessbase.com/en/pics/bp_6558
Chess Endgames 13 - Double rook endings,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_13_double_rook_endgames,//youtube.com/embed/z54Co86Qb_g,29.65,4,34,https://shop.chessbase.com/en/pics/bp_6577
Chess Endgames 14 - The golden guidelines of endgame play,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_14_the_golden_guidelines_of_endgame_play,//youtube.com/embed/uztCejcsz4A,29.65,7,27,https://shop.chessbase.com/en/pics/bp_6660
Chess Endgames 1 to 14,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_1_to_14,,296.49,,,https://shop.chessbase.com/en/pics/bp_6664
Endgames from Fischer to Carlsen,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_world_champions_fischer_carlsen,//youtube.com/embed/4ktLntsztew,29.65,,,https://shop.chessbase.com/en/pics/bp_8190
Endgames of the World Champions Vol. 2 - from Steinitz to Spassky,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_endgames_world_champions_vol_2_steinitz_spassky,//youtube.com/embed/qu2XJgHlkpQ,29.65,13,,https://shop.chessbase.com/en/pics/bp_8323
Magical Chess Endgames,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_meyer_magical_chess_endgames,//youtube.com/embed/8rZr496J26M,29.65,4,,https://shop.chessbase.com/en/pics/bp_8494
Magical Chess Endgames Vol. 1 & 2 + The magic of chess tactics,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_meyer_magical_chess_endgames_vol1_vol2_and_magical_chess_endgames,,79.23,4,30,https://shop.chessbase.com/Content/Layout2018/new_product_en.png
Chess Endgames 1 - Basic knowledge for beginners,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_1_basic_knowledge_for_beginners,,29.74,,,https://shop.chessbase.com/en/pics/bp_5844
Chess Endgames 2 - Rook Endgames,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_2_rook_endgames,,29.74,,,https://shop.chessbase.com/en/pics/bp_5843
Chess Endgames 3 - major piece endgames,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_3_major_piece_endgames,,29.74,,,https://shop.chessbase.com/en/pics/bp_5842
Chess Endgames 4 - Strategical Endgames,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_4_strategical_endgames,,29.74,,,https://shop.chessbase.com/en/pics/bp_5841
Endgames for experts,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/endgames_for_experts,,29.74,,,https://shop.chessbase.com/en/pics/bp_4191
Endgame Fireworks,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/endgame_fireworks,,32.63,,,https://shop.chessbase.com/en/pics/bp_4222
Chess Endgames 5 - Endgame Principles Activity & Initiative,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_5_endgame_principles_activity_initiative,,29.74,,18,https://shop.chessbase.com/en/pics/bp_5774
Power Play 15 - Practical Pawn Endgames,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play15_practical_pawn_endgames,//youtube.com/embed/gZQgdcziYCg,29.65,,,https://shop.chessbase.com/en/pics/bp_5956
Chess Endgames 6 - Endgame Principles Domination & Prophylaxis,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_6_endgame_principles_domination_prophylaxis,,29.74,,,https://shop.chessbase.com/en/pics/bp_5776
Chess Endgames 7 - Endgame Principles Weaknesses & Fortresses,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_7_endgame_principles_weaknesses_fortresses,,29.74,,40,https://shop.chessbase.com/en/pics/bp_5840
Power Play 16 - Test Your Rook Endgames,Daniel King,FritzTrainer,https://shop.chessbase.com/en/products/power_play16_rook_endgames,//youtube.com/embed/z4B43ejp9qQ,29.65,,,https://shop.chessbase.com/en/pics/bp_6048
Chess Endgames 8 - Practical Rook Endgames,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/chess_endgames_8_practical_rook_endings,//youtube.com/embed/MRCVLUPc7G4,29.74,,,https://shop.chessbase.com/en/pics/bp_6036
Chess Endgames 9 - Rook and Minor Piece,Dr. Karsten Müller,FritzTrainer,https://shop.chessbase.com/en/products/mueller_chess_endgames_9_rook_and_minor_piece,//youtube.com/embed/yIwhnFqJbI0,29.74,,38,https://shop.chessbase.com/en/pics/bp_6122
Sicilian Najdorf 6.Bg5,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/sicilian_najdorf_6bg5,,32.63,,,https://shop.chessbase.com/en/pics/bp_5742
The Botvinnik and Moscow variation,Loek van Wely,FritzTrainer,https://shop.chessbase.com/en/products/the_botvinnik_and_moscow_variation,,29.74,,30,https://shop.chessbase.com/en/pics/bp_4120
My best games in the Petroff Defence,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_petroff_defence,,29.74,,,https://shop.chessbase.com/en/pics/bp_4123
The Pirc Defence,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_pirc_defence,,29.74,7,,https://shop.chessbase.com/en/pics/bp_4141
The ABC of the Czech Benoni,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/the_abc_of_the_czech_benoni,,26.76,,60,https://shop.chessbase.com/en/pics/bp_4137
My best games in the Najdorf,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_najdorf,,29.74,,,https://shop.chessbase.com/en/pics/bp_4098
My best games in the King’s Indian,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_kings_indian,,32.63,,,https://shop.chessbase.com/en/pics/bp_4128
My best games in the Nimzo-Indian,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_nimzo-indian,,32.63,,,https://shop.chessbase.com/en/pics/bp_4129
The Maroczy System,Sergei Tiviakov,FritzTrainer,https://shop.chessbase.com/en/products/the_maroczy_system,,26.76,,15,https://shop.chessbase.com/en/pics/bp_4152
1...e6: A Solid Repertoire against 1.d4 and 1.e4,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/1e6_a_solid_repertoire_against_1d4_and_1e4,,27.27,5,,https://shop.chessbase.com/en/pics/bp_4276
1...d6 Universal,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/1d6_universal,,26.76,5,,https://shop.chessbase.com/en/pics/bp_4157
The Accelerated Dragon,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_accelerated_dragon,,26.76,,,https://shop.chessbase.com/en/pics/bp_4158
The French Defence,Ari Ziegler,FritzTrainer,https://shop.chessbase.com/en/products/the_french_defence,,26.76,,,https://shop.chessbase.com/en/pics/bp_4112
My best games in the Sicilian,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_sicilian,,29.74,,50,https://shop.chessbase.com/en/pics/bp_4097
My best games in the Spanish Vol. 1,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_the_spanish,,29.74,,,https://shop.chessbase.com/en/pics/bp_4099
Sicilian Defense with 2.c3 - Alapin Variation,Sergei Tiviakov,FritzTrainer,https://shop.chessbase.com/en/products/sicilian_defense_with_2c3-alapin_variation,,26.76,4,,https://shop.chessbase.com/en/pics/bp_4163
The English Opening,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_english_opening,,29.74,8,,https://shop.chessbase.com/en/pics/bp_4217
Beating the French Vol.1,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/beating_the_french_vol_1,,26.76,,,https://shop.chessbase.com/en/pics/bp_4164
Beating the French Vol.2,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/beating_the_french_vol_2,,26.76,,17,https://shop.chessbase.com/en/pics/bp_4165
Beating the French Vol.3,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/beating_the_french_vol_3,,26.76,,,https://shop.chessbase.com/en/pics/bp_4166
My best games with black,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_with_black,,32.63,,,https://shop.chessbase.com/en/pics/bp_4189
The Tarrasch Defence,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_tarrasch_defence,,26.76,3,50,https://shop.chessbase.com/en/pics/bp_4215
The ABC of Evans Gambit,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/the_abc_of_evans_gambit,,26.76,4,30,https://shop.chessbase.com/en/pics/bp_4214
Anti-Moscow Gambit for Experts,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/anti-moscow_gambit_for_experts,,29.74,,,https://shop.chessbase.com/en/pics/bp_4182
My best games in the Spanish Vol. 3,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_spanish_vol_3,,32.71,,,https://shop.chessbase.com/en/pics/bp_4210
The Scotch Game,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_scotch_game,,26.76,5,,https://shop.chessbase.com/en/pics/bp_4232
How to play the Queen's Gambit,Garry Kasparov,FritzTrainer,https://shop.chessbase.com/en/products/how_to_play_the_queens_gambit,//youtube.com/embed/oCC5ZyzsA3c,29.74,,28,https://shop.chessbase.com/en/pics/bp_4045
How to play the Najdorf Vol. 1,Garry Kasparov,FritzTrainer,https://shop.chessbase.com/en/products/how_to_play_the_najdorf_vol_1,//youtube.com/embed/rNTI4pO7Ib0,29.74,,,https://shop.chessbase.com/en/pics/bp_4065
1. e4 for the creative attacker,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/e4_for_the_creative,,26.76,4,,https://shop.chessbase.com/en/pics/bp_4169
Queen’s Pawn Openings,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/queens_pawn_openings,,26.76,,60,https://shop.chessbase.com/en/pics/bp_4153
A World champion’s guide to the Petroff,Rustam Kasimdzhanov,FritzTrainer,https://shop.chessbase.com/en/products/a_world_champions_guide_to_the_petroff,,29.74,,20,https://shop.chessbase.com/en/pics/bp_4132
My best games in the Spanish Vol. 2,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_spanish_vol_2,,29.74,,,https://shop.chessbase.com/en/pics/bp_4167
My best games in the Grünfeld,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_gruenfeld,,29.74,,,https://shop.chessbase.com/en/pics/bp_4168
King’s Indian Attack,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/kings_indian_attack,,26.76,,,https://shop.chessbase.com/en/pics/bp_4175
London System,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/london_system,,26.76,,,https://shop.chessbase.com/en/pics/bp_4192
The Colle System,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/the_colle_system,//youtube.com/embed/s-pu0f9WwGA,26.76,,,https://shop.chessbase.com/en/pics/bp_4194
My best games in the Sveshnikov,Alexei Shirov,FritzTrainer,https://shop.chessbase.com/en/products/my_best_games_in_the_sveshnikov,,29.74,4,,https://shop.chessbase.com/en/pics/bp_4172
Torre Attack,Nigel Davies,FritzTrainer,https://shop.chessbase.com/en/products/torre_attack,,26.76,,,https://shop.chessbase.com/en/pics/bp_4197
The ABC of the Modern Benoni,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/the_abc_of_the_modern_benoni,,26.76,,60,https://shop.chessbase.com/en/pics/bp_4193
The Nimzoindian Defence - The easy way,Jacob Aagaard,FritzTrainer,https://shop.chessbase.com/en/products/the_nimzoindian_defence-the_easy_way,,24.78,,4,https://shop.chessbase.com/en/pics/bp_4048
The ABC of the Caro-Kann,Andrew Martin,FritzTrainer,https://shop.chessbase.com/en/products/the_abc_of_the_caro_kann,,26.76,,13,https://shop.chessbase.com/en/pics/bp_4111
Queen‘s Indian Defence - The easy way,Jacob Aagaard,FritzTrainer,https://shop.chessbase.com/en/products/queenss_indian_defence-the_easy_way,,,,49,https://shop.chessbase.com/en/pics/bp_4108
The Sveshnikov Variation of the Sicilian,Loek van Wely,FritzTrainer,https://shop.chessbase.com/en/products/the_sveshnikov_variation_of_the_sicilian,,29.74,,43,https://shop.chessbase.com/en/pics/bp_4119
The Exciting Budapest Gambit,Simon Williams,FritzTrainer,https://shop.chessbase.com/en/products/williams_the_budapest_gambit,//youtube.com/embed/3c4vnpCvESg,29.65,6,16,https://shop.chessbase.com/en/pics/bp_8483
The English Opening - Tactic and Strategy Toolbox,Mihail Marin,FritzTrainer,https://shop.chessbase.com/en/products/marin_english_tactic_strategy_toolbox,//youtube.com/embed/aoTFxki-yms,29.65,5,30,https://shop.chessbase.com/en/pics/bp_8517
